ROAD ACCESS,FACING,FLOOR,PARKING,BEDROOM,BATHROOM,FURNISH STATUS,Price,Location,LAND AREA,BUILT YEAR,BUILTUP AREA,Living ,Kitchen
16 Feet,South,3,1 Car  & 4 Bikes,7,5,Full-Furnished,Rs. 3.25Cr,"Hattigaunda, Kathmandu",4.1 aana,2081 BS,,1,2
20 Feet,South,2.5,1 Car  & 5 Bikes,6,5,Semi-Furnished,Rs. 2.98Cr,"Bhaisepati, Lalitpur",3.2 aana,2081 BS,2200 Sq. Ft.,2,1
13 Feet,East,3,2 Cars  & 5 Bikes,6,5,Full-Furnished,Price on call,"Shital Height, Lalitpur",4.1 aana,2081 BS,2800 Sq. Ft.,2,2
13 Feet,West,2.5,1 Car  & 5 Bikes,2,5,Semi-Furnished,Rs. 3.05Cr,"Imadol, Lalitpur",3.1 aana,2079 BS,2500 Sq. Ft.,1,
13 Feet,North,3,1 Car  & 2 Bikes,6,3,Un-Furnished,Rs. 3.2Cr,"Bhangal , Kathmandu",,,1200 Sq. Ft.,1,1
13 Feet,South,2.5,2 Cars  & 4 Bikes,8,3,Full-Furnished,Rs. 2Lac/m,"Sanepa, Lalitpur",,,,1,2
20 Feet,North-East,2.5,2 Cars  & 5 Bikes,6,4,Un-Furnished,"Rs. 80,000/m","Dhumbarahi, Kathmandu",7.2 aana,2065 BS,3000 Sq. Ft.,2,
20 Feet,South-East,3.5,1 Car  & 4 Bikes,9,7,Full-Furnished,Rs. 3.75Cr,"Bhaktapur, Bhaktapur",,2081 BS,,1,2
10 Feet,South,1.5,1 Car  & 4 Bikes,3,2,Full-Furnished,Rs. 1.5Cr,"Bhaktapur, Bhaktapur",,2081 BS,,,1
13 Feet,West,3,1 Car  & 4 Bikes,7,4,Semi-Furnished,Rs. 2.65Cr,"Bhaktapur, Bhaktapur",3.2 aana,2081 BS,,,
32 Feet,East,4.5,4 Bikes,,,Full-Furnished,Rs. 10Cr,"Sinamangal, Kathmandu",5.2 aana,2081 BS,,2,
30 Feet,North-East,3.5,1 Car  & 2 Bikes,8,4,Semi-Furnished,Rs. 2.05Cr,"Jhaukhel, Bhaktapur",3.2 aana,2020 AD,,,2
20 Feet,East,2.5,1 Car  & 4 Bikes,6,4,Full-Furnished,Rs. 4.5Cr,"Shantinagar, Kathmandu",4.2 aana,2081 BS,,2,1
20 Feet,East,3.5,1 Car  & 4 Bikes,9,7,Full-Furnished,Rs. 6Cr,"Shantinagar, Kathmandu",5.2 aana,2081 BS,,,
20 Feet,East,4,1 Car  & 4 Bikes,20,15,Full-Furnished,Rs. 5.5Cr,"Shantinagar, Kathmandu",,2081 BS,,2,
16 Feet,East,3,1 Car  & 3 Bikes,6,3,Semi-Furnished,Price on call,"Aakasedhara, Kathmandu",4.2 aana,,1500 Sq. Ft.,2,2
